random,rank,discipline,yrs.since.phd,yrs.service,sex,salary
1,Prof,B,19,18,Male,139750
1,Prof,B,20,16,Male,173200
1,AsstProf,B,4,3,Male,79750
1,Prof,B,45,39,Male,115000
1,Prof,B,40,41,Male,141500
1,AssocProf,B,6,6,Male,97000
1,Prof,B,30,23,Male,175000
1,Prof,B,45,45,Male,147765
0,Prof,B,21,20,Male,119250
1,Prof,B,18,18,Female,129000
1,AssocProf,B,12,8,Male,119800
1,AsstProf,B,7,2,Male,79800
1,AsstProf,B,1,1,Male,77700
1,AsstProf,B,2,0,Male,78000
1,Prof,B,20,18,Male,104800
0,Prof,B,12,3,Male,117150
1,Prof,B,19,20,Male,101000
1,Prof,A,38,34,Male,103450
1,Prof,A,37,23,Male,124750
1,Prof,A,39,36,Female,137000
1,Prof,A,31,26,Male,89565
1,Prof,A,36,31,Male,102580
1,Prof,A,34,30,Male,93904
1,Prof,A,24,19,Male,113068
1,AssocProf,A,13,8,Female,74830
1,Prof,A,21,8,Male,106294
1,Prof,A,35,23,Male,134885
1,AsstProf,B,5,3,Male,82379
0,AsstProf,B,11,0,Male,77000
1,Prof,B,12,8,Male,118223
1,Prof,B,20,4,Male,132261
1,AsstProf,B,7,2,Male,79916
1,Prof,B,13,9,Male,117256
1,AsstProf,B,4,2,Male,80225
0,AsstProf,B,4,2,Female,80225
1,AsstProf,B,5,0,Female,77000
1,Prof,B,22,21,Male,155750
1,AsstProf,B,7,4,Male,86373
1,Prof,B,41,31,Male,125196
1,AssocProf,B,9,9,Male,100938
1,Prof,B,23,2,Male,146500
0,AssocProf,B,23,23,Male,93418
1,Prof,B,40,27,Male,101299
1,Prof,B,38,38,Male,231545
1,Prof,B,19,19,Male,94384
1,Prof,B,25,15,Male,114778
1,Prof,B,40,28,Male,98193
1,Prof,B,23,19,Female,151768
0,Prof,B,25,25,Female,140096
0,AsstProf,B,1,1,Male,70768
1,Prof,B,28,28,Male,126621
1,Prof,B,12,11,Male,108875
1,AsstProf,B,11,3,Female,74692
1,Prof,B,16,9,Male,106639
1,AssocProf,B,12,11,Male,103760
0,AssocProf,B,14,5,Male,83900
1,Prof,B,23,21,Male,117704
0,AssocProf,B,9,8,Male,90215
1,AssocProf,B,10,9,Male,100135
1,AsstProf,B,8,3,Male,75044
1,AssocProf,B,9,8,Male,90304
1,AsstProf,B,3,2,Male,75243
1,Prof,B,33,31,Male,109785
0,AssocProf,B,11,11,Female,103613
1,AsstProf,B,4,3,Male,68404
1,AssocProf,B,9,8,Male,100522
1,Prof,B,22,12,Male,101000
1,Prof,B,35,31,Male,99418
1,Prof,B,17,17,Female,111512
1,Prof,B,28,36,Male,91412
1,Prof,B,17,2,Male,126320
1,Prof,B,45,45,Male,146856
1,Prof,B,29,19,Male,100131
0,Prof,B,35,34,Male,92391
1,Prof,B,28,23,Male,113398
1,AsstProf,B,8,3,Male,73266
1,Prof,B,17,3,Male,150480
1,Prof,B,26,19,Male,193000
0,AsstProf,B,3,1,Male,86100
1,AsstProf,B,6,2,Male,842401,